"","year","banking_crisis","systemic_crisis","currency_crisis","inflation_crisis","iso3c","crisis_idx"
"1",1800,0,0,0,0,"DZA",0
"2",1801,0,0,0,0,"DZA",0
"3",1802,0,0,0,0,"DZA",0
"4",1803,0,0,0,0,"DZA",0
"5",1804,0,0,0,0,"DZA",0
"6",1805,0,0,0,0,"DZA",0
"7",1806,0,0,0,0,"DZA",0
"8",1807,0,0,0,0,"DZA",0
"9",1808,0,0,0,0,"DZA",0
"10",1809,0,0,0,0,"DZA",0
"11",1810,0,0,0,0,"DZA",0
"12",1811,0,0,0,0,"DZA",0
"13",1812,0,0,0,0,"DZA",0
"14",1813,0,0,0,0,"DZA",0
"15",1814,0,0,0,0,"DZA",0
"16",1815,0,0,0,0,"DZA",0
"17",1816,0,0,0,0,"DZA",0
"18",1817,0,0,0,0,"DZA",0
"19",1818,0,0,0,0,"DZA",0
"20",1819,0,0,0,0,"DZA",0
"21",1820,0,0,0,0,"DZA",0
"22",1821,0,0,0,0,"DZA",0
"23",1822,0,0,0,0,"DZA",0
"24",1823,0,0,0,0,"DZA",0
"25",1824,0,0,0,0,"DZA",0
"26",1825,0,0,0,0,"DZA",0
"27",1826,0,0,0,0,"DZA",0
"28",1827,0,0,0,0,"DZA",0
"29",1828,0,0,0,0,"DZA",0
"30",1829,0,0,0,0,"DZA",0
"31",1830,0,0,0,0,"DZA",0
"32",1831,0,0,0,0,"DZA",0
"33",1832,0,0,0,0,"DZA",0
"34",1833,0,0,0,0,"DZA",0
"35",1834,0,0,0,0,"DZA",0
"36",1835,0,0,0,0,"DZA",0
"37",1836,0,0,0,0,"DZA",0
"38",1837,0,0,0,0,"DZA",0
"39",1838,0,0,0,0,"DZA",0
"40",1839,0,0,0,0,"DZA",0
"41",1840,0,0,0,0,"DZA",0
"42",1841,0,0,0,0,"DZA",0
"43",1842,0,0,0,0,"DZA",0
"44",1843,0,0,0,0,"DZA",0
"45",1844,0,0,0,0,"DZA",0
"46",1845,0,0,0,0,"DZA",0
"47",1846,0,0,0,0,"DZA",0
"48",1847,0,0,0,0,"DZA",0
"49",1848,0,0,0,0,"DZA",0
"50",1849,0,0,0,0,"DZA",0
"51",1850,0,0,0,0,"DZA",0
"52",1851,0,0,0,0,"DZA",0
"53",1852,0,0,0,0,"DZA",0
"54",1853,0,0,0,0,"DZA",0
"55",1854,0,0,0,0,"DZA",0
"56",1855,0,0,0,0,"DZA",0
"57",1856,0,0,0,0,"DZA",0
"58",1857,0,0,0,0,"DZA",0
"59",1858,0,0,0,0,"DZA",0
"60",1859,0,0,0,0,"DZA",0
"61",1860,0,0,0,0,"DZA",0
"62",1861,0,0,0,0,"DZA",0
"63",1862,0,0,0,0,"DZA",0
"64",1863,0,0,0,0,"DZA",0
"65",1864,0,0,0,0,"DZA",0
"66",1865,0,0,0,0,"DZA",0
"67",1866,0,0,0,0,"DZA",0
"68",1867,0,0,0,0,"DZA",0
"69",1868,0,0,0,0,"DZA",0
"70",1869,0,0,0,0,"DZA",0
"71",1870,1,1,0,0,"DZA",2
"72",1871,0,0,0,0,"DZA",0
"73",1872,0,0,0,0,"DZA",0
"74",1873,0,0,0,0,"DZA",0
"75",1874,0,0,0,0,"DZA",0
"76",1875,0,0,0,0,"DZA",0
"77",1876,0,0,0,0,"DZA",0
"78",1877,0,0,0,1,"DZA",1
"79",1878,0,0,0,0,"DZA",0
"80",1879,0,0,0,0,"DZA",0
"81",1880,0,0,0,0,"DZA",0
"82",1881,0,0,0,0,"DZA",0
"83",1882,0,0,0,0,"DZA",0
"84",1883,0,0,0,0,"DZA",0
"85",1884,0,0,0,0,"DZA",0
"86",1885,0,0,0,0,"DZA",0
"87",1886,0,0,0,0,"DZA",0
"88",1887,0,0,0,0,"DZA",0
"89",1888,0,0,0,0,"DZA",0
"90",1889,0,0,0,0,"DZA",0
"91",1890,0,0,0,0,"DZA",0
"92",1891,0,0,0,0,"DZA",0
"93",1892,0,0,0,0,"DZA",0
"94",1893,0,0,0,0,"DZA",0
"95",1894,0,0,0,0,"DZA",0
"96",1895,0,0,0,0,"DZA",0
