"iso3c","country","year","unemp_nat","unemp_ilo","unemp_i","regime","regime_i","fem_labour","fem_labour_i","gini_disp","gini_disp_i","gdp_madki","gdp_madki_i","gdp_cap_i","fertility","fertility_i","alc_all_types","alc_all_types_i","christpct_i","christpct_ii","islampct_i","islampct_ii","buddhapct_i","buddhapct_ii","jewishpct_i","jewishpct_ii","hindupct_i","hindupct_ii","otherpct_i","otherpct_ii","nonreligpct_i","nonreligpct_ii","suicide_total_m","suicide_total_f","suicide_rate_female_owd","suicide_rate_male_owd","suicide_rate_total_owd","pop","pop65","crisis_idx","marit_rate_men","marit_rate_women","div_rate_female","div_rate_male","atwar","crisis_idx_i","atwar_i","crisis_idx_iI","suicide_total_owd","suicide_total_pcm","suicide_male_pcm","suicide_female_pcm","region","any_crisis"
"AFG","Afghanistan",2014,6.92666673660279,11.4275002479553,6.92666673660279,3,3,17.708126137469,17.708126137469,32.075,32.075,1.9104271125,1.9104271125,1.9104271125,5.28,5.28,0.01,0.01,0.001,0.001,0.997,0.997,0,0,0,0,0,0,0.002,0.002,0,0,NA,NA,47.275,144.175,9.465198331669,32774726.25,2.43668823763833,NA,77.7385,76.9200238095238,NA,NA,0.5,0.25,0.5,0.666666666666667,94.65198331669,94.65198331669,144.175,47.275,"South Asia",1
"AGO","Angola",2014,8.79000012079874,7.55125004053116,8.79000012079874,3,3,49.9870520042922,49.9870520042922,49.825,49.825,8.27451265,8.27451265,8.27451265,5.90375,5.90375,6.52625,6.52625,0.9335,0.933625,0.011,0.011,0,0,0,0,0,0,0.0455,0.045375,0.01,0.01,NA,NA,48.4875,216.1,12.5445624572027,26523251.25,2.30576150432876,0,66.1265,50.1470357142857,NA,NA,0,0,0,0,125.445624572027,125.445624572027,216.1,48.4875,"Sub-Saharan Africa",0
"ALB","Albania",2014,15.1374999284744,15.1387499570847,15.1374999284744,5,5,41.8476200962721,41.8476200962721,39.5625,39.5625,9.8553866125,9.8553866125,9.8553866125,1.671125,1.671125,4.78375,4.78375,0.2045,0.205125,0.6175,0.629875,0,0,0,0,0,0,0.0973333333333333,0.084,0.0806666666666667,0.081,61,35,30.7625,74.2,5.19572145551786,2891634.25,11.9889019818651,NA,67.725,62.6064285714286,NA,NA,0,0.125,0,0.125,51.9572145551786,51.9572145551786,74.2,30.7625,"Europe & Central Asia",1
"AND","Andorra",2014,NA,NA,2,NA,9,NA,NA,30.3571428571429,30.3571428571429,4.25579033017573,4.25579033017573,4.25579033017573,1.27,1.27,10.1325,10.1325,0.7785,0.773375,0.0121666666666667,0.012375,0,0,0.003,0.003,0.005,0.005,0.137,0.14175,0.0643333333333333,0.0645,NA,NA,30.5625,131.475,8.19811082756611,80364.875,NA,NA,NA,NA,NA,NA,0,0.625,0,NA,81.9811082756611,81.9811082756611,131.475,30.5625,"Europe & Central Asia",1
"ARE","United Arab Emirates",2014,2.05000001192093,2.03874999284744,2.05000001192093,0,0,14.4793879496653,14.4793879496653,NA,NA,70.5414875375,70.5414875375,70.5414875375,1.627,1.627,1.9725,1.9725,0.128666666666667,0.12925,0.754666666666667,0.752,0.021,0.02125,0,0,0.0695,0.070375,0.0145,0.015375,0.0116666666666667,0.01175,NA,NA,18.575,64.2375,5.1410739807157,9145191.125,0.86872182867259,NA,NA,NA,NA,NA,0,0,0,0,51.410739807157,51.410739807157,64.2375,18.575,"Middle East & North Africa",0
"ARG","Argentina",2014,7.47166665395101,7.55124998092651,7.47166665395101,6,6,41.631232430599,41.631232430599,38.425,38.425,19.401987225,19.401987225,19.401987225,2.314,2.314,8.08875,8.08875,0.906,0.905,0.0208333333333333,0.021125,0.001,0.001,0.0045,0.004375,0,0,0.00716666666666667,0.007375,0.0605,0.061125,2485.25,609.375,40.85,182.2375,10.8067861488967,42427849.25,10.5744111687736,0.285714285714286,64.86,59.8045454545455,NA,NA,0,0.25,0,0,108.067861488967,108.067861488967,182.2375,40.85,"Latin America & Caribbean",1
"ARM","Armenia",2014,17.7512502670288,17.7525000572204,17.7512502670288,3,3,46.6401893566395,46.6401893566395,36.475,36.475,9.4967736875,9.4967736875,9.4967736875,1.732875,1.732875,4.0025,4.0025,0.947,0.9495,0,0,0,0,0,0,0,0,0.0116666666666667,0.0115,0.0413333333333333,0.039,49.5,16.625,34.475,146,8.56002616881284,2906822.625,10.9093752005583,NA,66.5340909090909,59.3635909090909,NA,NA,0,0.375,0,0.375,85.6002616881284,85.6002616881284,146,34.475,"Europe & Central Asia",1
"ASM","American Samoa",2014,9.19999980926514,NA,9.19999980926514,NA,7,NA,NA,NA,NA,4.23111992663203,4.45288059481741,4.45288059481741,NA,NA,NA,NA,0.871,0.87175,0,0,0.003,0.003,0,0,0,0,0.117666666666667,0.11675,0.00833333333333333,0.0085,NA,NA,35.475,98.8875,6.68053216177937,55772.75,NA,NA,NA,NA,NA,NA,NA,0.125,0,NA,66.8053216177937,66.8053216177937,98.8875,35.475,"East Asia & Pacific",NA
"ATG","Antigua & Barbuda",2014,NA,NA,11,NA,7,NA,NA,NA,NA,4.23391764985726,4.23391764985726,4.23391764985726,1.99675,1.99675,7.50125,7.50125,0.781,0.77475,0.002,0.002,0,0,5e-04,0.000625,0.0045,0.004625,0.1525,0.157375,0.0595,0.060625,NA,1,8.9125,46.6125,2.66753235943966,91910.875,7.91127144103783,NA,NA,NA,NA,NA,0,0.125,0,NA,26.6753235943966,26.6753235943966,46.6125,8.9125,"Latin America & Caribbean",0
"AUS","Australia",2014,5.57499998807907,5.57499998807907,5.57499998807907,9,9,45.6893231756186,45.6893231756186,32.6375,32.6375,47.5144796125,47.5144796125,47.5144796125,1.84525,1.84525,9.96375,9.96375,0.603,0.5995,0.0235,0.024125,0.0256666666666667,0.026,0.005,0.005,0.0145,0.015125,0.0943333333333333,0.09175,0.234,0.2385,2081.375,684.125,51.25,167.925,10.8501012543704,23289727,14.3943595985551,0.571428571428571,51.5676923076923,47.9661538461538,NA,NA,0,0.5,0,0,108.501012543704,108.501012543704,167.925,51.25,"East Asia & Pacific",1
