iso3c,year,gini_disp,gini_disp_se,gini_mkt,gini_mkt_se
AFG,2007,31.8,2.6,33.7,2.7
AFG,2008,31.8,2.6,33.7,2.6
AFG,2009,31.9,2.6,33.9,2.7
AFG,2010,32,2.7,34,2.6
AFG,2011,32,2.6,34.1,2.7
AFG,2012,32.1,2.7,34.2,2.6
AFG,2013,32.1,2.7,34.3,2.8
AFG,2014,32.1,2.8,34.3,2.8
AFG,2015,32.1,2.9,34.3,3
AFG,2016,32.1,2.9,34.4,3.1
AFG,2017,32.1,2.9,34.4,3.1
ALB,1996,37.5,2.6,45.8,4.5
ALB,1997,37.6,2.5,45.9,4.5
ALB,1998,37.8,2.5,46,4.6
ALB,1999,37.9,2.4,46.1,4.4
ALB,2000,38.1,2.4,46.2,4.4
ALB,2001,38.2,2.2,46.2,4.4
ALB,2002,38.3,2.2,46.4,4.4
ALB,2003,38.4,2.2,46.5,4.4
ALB,2004,38.5,2.2,46.5,4.4
ALB,2005,38.6,2.3,46.6,4.5
ALB,2006,38.7,2.3,46.7,4.4
ALB,2007,38.8,2.2,46.7,4.4
ALB,2008,38.9,2.2,46.8,4.5
ALB,2009,39,2.4,46.8,4.4
ALB,2010,39.1,2.4,46.9,4.6
ALB,2011,39.3,2.4,47,4.6
ALB,2012,39.4,2.4,47,4.7
ALB,2013,39.5,2.6,47.1,4.7
ALB,2014,39.7,2.6,47.1,4.8
ALB,2015,39.8,2.7,47.2,4.9
ALB,2016,39.8,2.7,47.2,5
ALB,2017,39.9,2.9,47.2,5
DZA,1988,37.7,2.8,40.2,3.1
DZA,1989,37.6,2.8,40.1,3.1
DZA,1990,37.5,2.7,40,3
DZA,1991,37.4,2.6,39.8,3
DZA,1992,37.3,2.6,39.7,2.9
DZA,1993,37.2,2.6,39.6,2.9
DZA,1994,37.1,2.6,39.5,2.8
DZA,1995,37,2.5,39.3,2.8
DZA,1996,36.9,2.6,39.3,2.9
DZA,1997,36.8,2.7,39.2,3
DZA,1998,36.7,2.7,39.1,3
DZA,1999,36.6,2.8,38.9,3.1
DZA,2000,36.5,2.9,38.8,3.1
DZA,2001,36.4,2.8,38.7,3.2
DZA,2002,36.2,2.9,38.6,3.2
DZA,2003,36.1,3,38.5,3.3
DZA,2004,36,2.9,38.4,3.2
DZA,2005,35.9,3,38.2,3.3
DZA,2006,35.8,3,38.1,3.4
DZA,2007,35.6,3.1,37.9,3.4
DZA,2008,35.6,3.2,37.7,3.4
DZA,2009,35.5,3.2,37.5,3.5
DZA,2010,35.4,3.2,37.4,3.5
DZA,2011,35.2,3.2,37.2,3.6
AND,2001,30.5,3.8,39.7,6.8
AND,2002,30.5,3.9,39.7,7
AND,2003,30.5,3.9,39.7,6.9
AND,2004,30.5,3.9,39.7,7
AND,2005,30.5,4,39.7,7
AND,2006,30.5,4.2,39.7,7
AND,2007,30.5,4.2,39.8,7.1
AND,2008,30.4,4.2,39.8,7.3
AND,2009,30.4,4.3,39.8,7.4
AND,2010,30.4,4.4,39.8,7.4
AND,2011,30.4,4.4,39.8,7.5
AND,2012,30.4,4.4,39.8,7.6
AND,2013,30.4,4.5,39.9,7.6
AND,2014,30.3,4.7,39.9,7.6
AND,2015,30.3,4.5,39.9,7.7
AND,2016,30.3,4.5,39.9,7.7
AGO,2000,50.3,3,53.5,3.2
AGO,2001,50.3,3,53.5,3.1
AGO,2002,50.2,2.9,53.4,3.1
AGO,2003,50.2,3,53.4,3
AGO,2004,50.2,2.9,53.4,3
AGO,2005,50.1,2.8,53.4,2.9
AGO,2006,50,2.7,53.2,2.8
AGO,2007,49.8,2.7,53,2.9
AGO,2008,49.6,2.7,52.8,2.8
AGO,2009,49.6,2.8,52.8,2.7
AGO,2010,49.6,2.8,52.9,2.9
