"iso3c","year","socx"
"AUS",1980,10.264
"AUS",1981,10.136
"AUS",1982,11.112
"AUS",1983,11.616
"AUS",1984,11.996
"AUS",1985,12.089
"AUS",1986,11.92
"AUS",1987,12.17
"AUS",1988,11.464
"AUS",1989,11.602
"AUS",1990,13.14
"AUS",1991,14.307
"AUS",1992,15.287
"AUS",1993,15.547
"AUS",1994,15.272
"AUS",1995,16.915
"AUS",1996,17.029
"AUS",1997,16.788
"AUS",1998,17.621
"AUS",1999,17.249
"AUS",2000,18.253
"AUS",2001,17.548
"AUS",2002,17.356
"AUS",2003,17.564
"AUS",2004,17.258
"AUS",2005,16.709
"AUS",2006,15.736
"AUS",2007,15.895
"AUS",2008,17.089
"AUS",2009,16.933
"AUS",2010,16.594
"AUS",2011,17.052
"AUS",2012,17.293
"AUS",2013,17.636
"AUS",2014,18.266
"AUS",2015,18.535
"AUS",2016,17.808
"AUT",1980,21.906
"AUT",1985,23.205
"AUT",1990,23.149
"AUT",1991,23.47
"AUT",1992,24.158
"AUT",1993,25.471
"AUT",1994,26.324
"AUT",1995,26.276
"AUT",1996,26.399
"AUT",1997,25.854
"AUT",1998,25.632
"AUT",1999,25.954
"AUT",2000,25.688
"AUT",2001,25.751
"AUT",2002,26.047
"AUT",2003,26.585
"AUT",2004,26.329
"AUT",2005,25.952
"AUT",2006,25.665
"AUT",2007,25.086
"AUT",2008,25.515
"AUT",2009,27.466
"AUT",2010,27.562
"AUT",2011,26.743
"AUT",2012,27.109
"AUT",2013,27.513
"AUT",2014,27.735
"AUT",2015,27.701
"AUT",2016,27.837
"AUT",2017,27.083
"BEL",1980,23.079
"BEL",1981,24.621
"BEL",1982,25.215
"BEL",1983,25.498
"BEL",1984,24.719
"BEL",1985,25.552
"BEL",1986,25.382
"BEL",1987,25.154
"BEL",1988,24.974
"BEL",1989,24.133
"BEL",1990,24.417
"BEL",1991,25.175
"BEL",1992,24.193
"BEL",1993,25.244
"BEL",1994,24.65
"BEL",1995,25.169
"BEL",1996,25.737
"BEL",1997,24.723
"BEL",1998,24.73
"BEL",1999,24.536
